movieId,ml_title,search_title,year,tmdb_id,tmdb_title,poster_url,overview,tagline,tmdb_genres,keywords,cast,director,runtime,popularity,vote_average,vote_count,release_date
11,"American President, The (1995)","American President, The",1995,9087,The American President,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,Drama|Romance,new love|usa president|the white house|holiday|global warming|press|fossil fuel|dating|class differences|widower|wildlife conservation|lobbyist|father daughter relationship|widower with daughter|romantic,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith,Rob Reiner,113,2.8723,6.539,782,1995-11-17
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,12110,Dracula: Dead and Loving It,https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",You'll laugh until you die...then you'll rise from the dead and laugh again!,Comedy|Horror,vampire|satire|spoof|dracula,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony,Mel Brooks,88,2.3564,6.071,1103,1995-12-22
13,Balto (1995),Balto,1995,21032,Balto,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",His story became a legend. His adventure is one you'll never forget.,Adventure|Animation|Drama|Family,wolf|pet|cartoon|villain|dog-sledding race|alaska|dog|goose|bear attack|dog sled|cartoon wolf|pets|cartoon animal,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins,Simon Wells,78,4.1565,7.306,2178,1995-12-22
14,Nixon (1995),Nixon,1995,10858,Nixon,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Drama|History,"usa president|washington dc, usa|government|presidential election|1970s|watergate scandal|biography|historical figure|richard nixon|1960s|ambiguous|disapproving|disdainful|disheartening|earnest|empathetic|frustrated",Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins,Oliver Stone,192,2.2399,6.859,397,1995-12-22
15,Cutthroat Island (1995),Cutthroat Island,1995,1408,Cutthroat Island,https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",Be bold. Be brave. Be prepared.,Action|Adventure,ship|treasure|exotic island|island|map|scalp|treasure map|sword fight|betrayal|pirate|heroine|swashbuckler|adventurer|pirate ship|17th century,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide,Renny Harlin,124,2.9433,5.799,618,1995-12-22
16,Casino (1995),Casino,1995,524,Casino,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",No one stays at the top forever.,Crime|Drama,drug abuse|casino|based on novel or book|poker|italian american|gambling|1970s|fbi|pimp|greed|cocaine|overdose|marriage|melancholy|car bomb|rise and fall|money|murder|organized crime|mafia|jewish american|las vegas|desert|control freak|safe deposit box|1980s|dramatic|suspenseful|brutal violence|fbi surveillance,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles,Martin Scorsese,179,8.3046,7.996,6520,1995-11-22
17,Sense and Sensibility (1995),Sense and Sensibility,1995,4584,Sense and Sensibility,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",Lose your heart and come to your senses.,Drama|Romance,"secret love|london, england|countryside|based on novel or book|widow|military officer|servant|country life|pneumonia|inheritance|period drama|rainstorm|decorum|horse carriage|young love|dowry|social class|19th century|penniless|social elite|bloodletting|free spirited|sussex|sisters love|marry for money|secret engagement|devonshire, england",Emma Thompson|Kate Winslet|Alan Rickman|Hugh Grant|Gemma Jones,Ang Lee,136,7.1027,7.42,1835,1995-12-13
18,Four Rooms (1995),Four Rooms,1995,5,Four Rooms,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Comedy,"hotel|new year's eve|witch|bet|sperm|hotel room|anthology|los angeles, california|hoodlum|multiple storylines|woman director",Tim Roth|Jennifer Beals|David Proval|Ione Skye|Madonna,Robert Rodriguez|Alexandre Rockwell|Allison Anders,98,4.1374,5.9,2837,1995-12-09
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,9273,Ace Ventura: When Nature Calls,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,Crime|Comedy|Adventure,kidnapping|africa|indigenous|human animal relationship|bat|stupidity|slapstick comedy|animals|pets,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton,Steve Oedekerk,90,6.7593,6.33,4545,1995-11-10
20,Money Train (1995),Money Train,1995,11517,Money Train,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","Get on, or GET OUT THE WAY!",Action|Comedy|Crime,new york city|sibling relationship|subway|new york subway|train robbery,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper,Joseph Ruben,110,3.456,5.871,866,1995-11-21
21,Get Shorty (1995),Get Shorty,1995,8012,Get Shorty,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Attitude plays a part.,Comedy|Thriller|Crime,"based on novel or book|miami, florida|gambling|gangster|money|murder|travel|mobster|mafia|business|debt|hollywood|drugs|producer|con",John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina,Barry Sonnenfeld,105,3.6896,6.505,1206,1995-10-20
22,Copycat (1995),Copycat,1995,1710,Copycat,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",Thriller|Crime|Mystery,police brutality|psychology|police operation|police protection|psychologist|serial killer|cowardliness,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.,Jon Amiel,124,3.9196,6.475,1263,1995-10-27
23,Assassins (1995),Assassins,1995,9691,Assassins,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",In the shadows of life. In the business of death. One man found a reason to live.,Action|Adventure|Crime|Thriller,"rescue|central intelligence agency (cia)|hitman|cat|bank|mexican standoff|seattle, washington|mission of murder|hidden camera|rivalry|shootout|police chase|sniper rifle|detroit, michigan|silencer|double cross|caribbean sea",Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson,Richard Donner,132,3.4319,6.5,1701,1995-10-06
24,Powder (1995),Powder,1995,12665,Powder,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",An extraordinary encounter with another human being.,Drama|Fantasy,teenage boy|held at gunpoint|teacher student relationship|albino|fainting|christ allegory|psionic power|healing power|flickering light|extrasensory perception|pale|powerful,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,Victor Salva,112,3.4257,7.005,714,1995-10-27
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,451,Leaving Las Vegas,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",I love you... The way you are.,Drama|Romance,"hotel room|dying and death|individual|prostitute|lovesickness|rage and hate|casino|unsociability|alcohol|love at first sight|movie business|screenwriter|alcoholism|los angeles, california|las vegas|alcohol abuse|dark romance|dramatic|depressing|tragic",Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber,Mike Figgis,111,4.1133,7.3,1642,1995-10-27
26,Othello (1995),Othello,1995,16420,Othello,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Envy, greed, jealousy and love.",Drama,jealousy|based on play or musical|friends|the moors (people),Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney,Oliver Parker,123,1.0293,6.357,150,1995-12-15
27,Now and Then (1995),Now and Then,1995,9263,Now and Then,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",In every woman there is the girl she left behind.,Comedy|Drama|Romance,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann,Lesli Linka Glatter,102,2.9176,6.869,476,1995-10-20
28,Persuasion (1995),Persuasion,1995,17015,Persuasion,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.","A love lost, but never forgotten",Drama|Romance,marriage proposal|strong woman|based on novel or book|love triangle|marriage|unrequited love|family in peril|old flame|admiral|bankruptcy|marriage broker|lovers reunited|lovers reunion|betrothal|rejected suitor,Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw,Roger Michell,104,2.3985,7.155,145,1995-05-01
29,"City of Lost Children, The (1995)","City of Lost Children, The",1995,902,The City of Lost Children,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Where happily ever after is just a dream.,Fantasy|Science Fiction|Adventure,rescue|friendship|island|dreams|clone|dystopia|eye|aging|steampunk|childhood|child kidnapping|flea,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus,Marc Caro|Jean-Pierre Jeunet,112,2.2274,7.245,1210,1995-05-17
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,,,,,,,,,,,,,,
31,Dangerous Minds (1995),Dangerous Minds,1995,9909,Dangerous Minds,https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",She broke the rules... and changed their lives.,Drama,high school|california|rap music|karate|naval officer|teacher|based on memoir or autobiography|amusement park|schoolteacher,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde,John N. Smith,99,2.8885,6.958,1262,1995-08-11
32,Twelve Monkeys (1995),Twelve Monkeys,1995,63,Twelve Monkeys,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",The future is history.,Science Fiction|Thriller|Mystery,"biological weapon|philadelphia, pennsylvania|schizophrenia|stockholm syndrome|airplane|world war i|underground|insanity|asylum|paranoia|prison cell|dystopia|pimp|lion|post-apocalyptic future|time travel|florida keys|mental breakdown|melancholy|past|dormitory|insane asylum|volunteer|drug use|flashback|remake|psychiatric hospital|jail|mental institution|alternate history|disease|lethal virus|paradox|psychiatrist|monkey|epidemic|trapped|street life|nonlinear timeline|medical research|gas mask|psychosis|subterranean|virus|mysterious|recurring dream|1990s|escaped animal|future noir|animal research|anxious|2030s|inspirational|suspenseful|critical|intense|complicated",Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse,Terry Gilliam,129,8.395,7.606,9094,1995-12-29
33,Wings of Courage (1995),Wings of Courage,1995,78802,Wings of Courage,https://image.tmdb.org/t/p/w500/zoxqNb6v55C35DDqNn03Grzhzgr.jpg,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",,Romance|Adventure,,Craig Sheffer|Elizabeth McGovern|Tom Hulce|Ken Pogue|Ron Sauvé,Jean-Jacques Annaud,40,0.7078,6.729,24,1995-06-16
34,Babe (1995),Babe,1995,9598,Babe,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,Fantasy|Drama|Comedy|Family,farm|sheep|pig|alarm clock|cat|duck|heroism|affection|piglet|anthropomorphism|based on children's book|dog|separation|animals|farmer|grandson|sheepdog|talking pig|christmas,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn,Chris Noonan,92,4.7966,6.271,3113,1995-07-18
35,Carrington (1995),Carrington,1995,47018,Carrington,https://image.tmdb.org/t/p/w500/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",A love story so unusual it has to be true.,History|Drama|Romance,england|painter|conscientious objector|soldier|polyamory,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell,Christopher Hampton,121,1.0565,6.193,70,1995-05-25
36,Dead Man Walking (1995),Dead Man Walking,1995,687,Dead Man Walking,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,,Drama,prison|death penalty|right and justice|rape|rage and hate|unsociability|court case|court|nun|penalty|therapist|sentence|forgiveness|self-discovery|despair|prison cell|socially deprived family|death row|doomed man|death sentence|lethal injection|charity|mercy petition|cowardliness|catholic|angry|dreary|incredulous|depressing|bitter|callous|horrified,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey,Tim Robbins,122,3.3051,7.326,1499,1995-12-29
37,Across the Sea of Time (1995),Across the Sea of Time,1995,139405,Across the Sea of Time,,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.",New York as you've never seen it. Sometimes you need to explore the past to uncover the future.,Adventure|History|Drama|Family,,Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy|Abby Lewis,Stephen Low,51,0.4475,5.5,6,1995-10-20
38,It Takes Two (1995),It Takes Two,1995,33689,It Takes Two,https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",Two identical strangers. Two different worlds. One perfect match.,Comedy|Family|Romance,matchmaking|orphan|identical twin|relationship sabotage,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett,Andy Tennant,101,3.2426,6.501,969,1995-11-17
39,Clueless (1995),Clueless,1995,9603,Clueless,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?,Comedy|Romance,puberty|high school|based on novel or book|make a match|spoiled child|coming of age|matchmaking|conflict|wedding|high school friends|makeover|woman director|popular girl|matchmaker|gay theme|match making|cheerful,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison,Amy Heckerling,97,8.4157,7.25,4787,1995-07-19
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,34615,"Cry, the Beloved Country",https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,,Drama,based on novel or book|south africa|apartheid|priest|1940s|race relations,Richard Harris|James Earl Jones|Charles S. Dutton|Vusi Kunene|Tsholofelo Wechoemang,Darrell James Roodt,106,0.5102,6.768,28,1995-12-15
